sampleID,Mouse_ID,Genotype,Sex,Injury,Treatment,Timepoint,Project,Acetate,Propionate,Butyrate,Total_SCFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_810,810,HEMI,M,TBI,FMT,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_811,811,HEMI,M,TBI,FMT,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_812,812,HEMI,M,TBI,FMT,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_813,813,HEMI,M,TBI,FMT,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_814,814,HEMI,M,TBI,FMT,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_815,815,HEMI,M,TBI,Veh,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_816,816,HEMI,M,TBI,Veh,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_817,817,HEMI,M,TBI,Veh,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_818,818,HEMI,M,TBI,Veh,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_819,819,HEMI,M,Sham,FMT,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_820,820,HEMI,M,Sham,FMT,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_821,821,HEMI,M,Sham,FMT,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_822,822,HEMI,M,Sham,FMT,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_823,823,HEMI,M,Sham,Veh,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_824,824,HEMI,M,Sham,Veh,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_825,825,HEMI,M,Sham,Veh,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_826,826,HEMI,M,Sham,Veh,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_827,827,HEMI,F,TBI,FMT,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_828,828,HEMI,F,TBI,FMT,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_829,829,HEMI,F,TBI,FMT,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_830,830,HEMI,F,TBI,FMT,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_831,831,HEMI,F,TBI,FMT,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_832,832,HEMI,F,TBI,Veh,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_833,833,HEMI,F,TBI,Veh,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_834,834,HEMI,F,TBI,Veh,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_835,835,HEMI,F,TBI,Veh,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_836,836,HEMI,F,Sham,FMT,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_837,837,HEMI,F,Sham,FMT,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_838,838,HEMI,F,Sham,FMT,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_839,839,HEMI,F,Sham,FMT,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_840,840,HEMI,F,Sham,Veh,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_841,841,HEMI,F,Sham,Veh,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_842,842,HEMI,F,Sham,Veh,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_1_843,843,HEMI,F,Sham,Veh,1dpi,FMT-AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_810,810,HEMI,M,TBI,FMT,3dpi,FMT-AD,1.55969666,4.558870241,8.719979062,17.19209709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_811,811,HEMI,M,TBI,FMT,3dpi,FMT-AD,1.512473807,3.93101103,7.067255818,17.4333204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_812,812,HEMI,M,TBI,FMT,3dpi,FMT-AD,1.506883481,3.876767725,7.614150669,16.88773282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_813,813,HEMI,M,TBI,FMT,3dpi,FMT-AD,1.542004049,4.327628856,7.679574173,17.84990778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villapol_3_814,814,HEMI,M,TBI,FMT,3dpi,FMT-AD,1.416253482,4.198174535,7.802113838,17.90038659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
