"","Mouse_ID","Sex","Injury","Treatment","Timepoint","chao1_unique"
"1",810,"M","TBI","FMT","1dpi",138
"2",811,"M","TBI","FMT","1dpi",131.2
"3",812,"M","TBI","FMT","1dpi",141
"4",813,"M","TBI","FMT","1dpi",95
"5",814,"M","TBI","FMT","1dpi",180
"6",815,"M","TBI","Veh","1dpi",139.2
"7",816,"M","TBI","Veh","1dpi",179.666666666667
"8",817,"M","TBI","Veh","1dpi",183.272727272727
"9",818,"M","TBI","Veh","1dpi",182
"10",819,"M","Sham","FMT","1dpi",120.25
"11",820,"M","Sham","FMT","1dpi",115.75
"12",821,"M","Sham","FMT","1dpi",152.625
"13",822,"M","Sham","FMT","1dpi",170.333333333333
"14",823,"M","Sham","Veh","1dpi",131.6
"15",824,"M","Sham","Veh","1dpi",102.2
"16",825,"M","Sham","Veh","1dpi",116.875
"17",826,"M","Sham","Veh","1dpi",87.1666666666667
"18",827,"F","TBI","FMT","1dpi",157.071428571429
"19",828,"F","TBI","FMT","1dpi",160.111111111111
"20",829,"F","TBI","FMT","1dpi",134.25
"21",830,"F","TBI","FMT","1dpi",192.5
"22",831,"F","TBI","FMT","1dpi",156.666666666667
"23",832,"F","TBI","Veh","1dpi",133.75
"24",833,"F","TBI","Veh","1dpi",167.769230769231
"25",834,"F","TBI","Veh","1dpi",152.5
"26",835,"F","TBI","Veh","1dpi",116.75
"27",836,"F","Sham","FMT","1dpi",171.909090909091
"28",837,"F","Sham","FMT","1dpi",112.3
"29",838,"F","Sham","FMT","1dpi",165.666666666667
"30",839,"F","Sham","FMT","1dpi",140
"31",840,"F","Sham","Veh","1dpi",175.625
"32",841,"F","Sham","Veh","1dpi",117.6
"33",842,"F","Sham","Veh","1dpi",126.428571428571
"34",843,"F","Sham","Veh","1dpi",120.2
"35",810,"M","TBI","FMT","3dpi",149.909090909091
"36",811,"M","TBI","FMT","3dpi",157.333333333333
"37",812,"M","TBI","FMT","3dpi",157
"38",813,"M","TBI","FMT","3dpi",169.75
"39",814,"M","TBI","FMT","3dpi",95.25
"40",815,"M","TBI","Veh","3dpi",155
"41",816,"M","TBI","Veh","3dpi",142.428571428571
"42",817,"M","TBI","Veh","3dpi",184.625
"43",818,"M","TBI","Veh","3dpi",176.1
"44",819,"M","Sham","FMT","3dpi",108.6
"45",820,"M","Sham","FMT","3dpi",140.6
"46",821,"M","Sham","FMT","3dpi",138.5
"47",822,"M","Sham","FMT","3dpi",212.090909090909
"48",823,"M","Sham","Veh","3dpi",125.2
"49",824,"M","Sham","Veh","3dpi",159.153846153846
"50",825,"M","Sham","Veh","3dpi",135.428571428571
"51",826,"M","Sham","Veh","3dpi",136.076923076923
"52",827,"F","TBI","FMT","3dpi",155.125
"53",828,"F","TBI","FMT","3dpi",188.153846153846
"54",829,"F","TBI","FMT","3dpi",154.3
"55",830,"F","TBI","FMT","3dpi",163.071428571429
"56",831,"F","TBI","FMT","3dpi",193.363636363636
"57",832,"F","TBI","Veh","3dpi",163.333333333333
"58",833,"F","TBI","Veh","3dpi",141.333333333333
"59",834,"F","TBI","Veh","3dpi",169
"60",835,"F","TBI","Veh","3dpi",161.428571428571
"61",836,"F","Sham","FMT","3dpi",132.857142857143
"62",837,"F","Sham","FMT","3dpi",148.857142857143
"63",838,"F","Sham","FMT","3dpi",130.5
"64",839,"F","Sham","FMT","3dpi",158.071428571429
"65",840,"F","Sham","Veh","3dpi",139.1
"66",841,"F","Sham","Veh","3dpi",165.1
"67",842,"F","Sham","Veh","3dpi",185.230769230769
"68",843,"F","Sham","Veh","3dpi",154.142857142857
"69",810,"M","TBI","FMT","Baseline",142.909090909091
"70",811,"M","TBI","FMT","Baseline",145.2
"71",812,"M","TBI","FMT","Baseline",118.5
"72",813,"M","TBI","FMT","Baseline",131.5
"73",814,"M","TBI","FMT","Baseline",139.25
"74",815,"M","TBI","Veh","Baseline",113.5
"75",816,"M","TBI","Veh","Baseline",99
"76",817,"M","TBI","Veh","Baseline",149.428571428571
"77",818,"M","TBI","Veh","Baseline",145.769230769231
"78",819,"M","Sham","FMT","Baseline",162.5
"79",820,"M","Sham","FMT","Baseline",79
"80",821,"M","Sham","FMT","Baseline",187.153846153846
"81",823,"M","Sham","Veh","Baseline",132.875
"82",824,"M","Sham","Veh","Baseline",142.153846153846
"83",825,"M","Sham","Veh","Baseline",119.25
"84",826,"M","Sham","Veh","Baseline",126.545454545455
"85",827,"F","TBI","FMT","Baseline",177.625
"86",828,"F","TBI","FMT","Baseline",125
"87",829,"F","TBI","FMT","Baseline",155.1
"88",830,"F","TBI","FMT","Baseline",110.75
"89",831,"F","TBI","FMT","Baseline",154.25
"90",832,"F","TBI","Veh","Baseline",135
"91",833,"F","TBI","Veh","Baseline",124
"92",834,"F","TBI","Veh","Baseline",129.6
"93",835,"F","TBI","Veh","Baseline",154
"94",836,"F","Sham","FMT","Baseline",112.75
"95",837,"F","Sham","FMT","Baseline",141.428571428571
"96",838,"F","Sham","FMT","Baseline",117.2
"97",839,"F","Sham","FMT","Baseline",87
"98",840,"F","Sham","Veh","Baseline",118.2
"99",841,"F","Sham","Veh","Baseline",110.166666666667
"100",842,"F","Sham","Veh","Baseline",115.142857142857
"101",843,"F","Sham","Veh","Baseline",153.75
